Country Code,Country Name,Region,Domain,Year,Actual,Predicted,Optimistic,Pessimistic,Error,Within_Band
ARM,Armenia,Central Asia,Political Stability,2022,0.4584,0.5305,0.5794,0.4817,0.0721,0
ARM,Armenia,Central Asia,Political Stability,2023,0.4392,0.527,0.5791,0.4748,0.0878,0
AUS,Australia,Oceania,Climate & Energy,2021,0.6778,0.6793,0.6803,0.6783,0.0014,0
AUS,Australia,Oceania,Climate & Energy,2022,0.8093,0.6788,0.6799,0.6777,-0.1306,0
AUS,Australia,Oceania,Climate & Energy,2023,0.8071,0.6783,0.6794,0.6771,-0.1289,0
AUS,Australia,Oceania,Digital Infrastructure,2021,0.8545,0.9321,1.0,0.8378,0.0776,1
AUS,Australia,Oceania,Digital Infrastructure,2022,0.8605,0.9654,1.0,0.8644,0.1049,0
AUS,Australia,Oceania,Digital Infrastructure,2023,0.8628,0.9987,1.0,0.8909,0.1359,0
AUS,Australia,Oceania,Economic Fragility,2021,0.7181,0.7245,0.729,0.72,0.0064,0
AUS,Australia,Oceania,Economic Fragility,2022,0.69,0.7255,0.7304,0.7207,0.0355,0
AUS,Australia,Oceania,Economic Fragility,2023,0.6981,0.7266,0.7317,0.7214,0.0285,0
AUS,Australia,Oceania,Food Security,2021,0.8861,0.8808,0.8928,0.8689,-0.0052,1
AUS,Australia,Oceania,Food Security,2022,0.8914,0.8793,0.8921,0.8666,-0.012,1
AUS,Australia,Oceania,Food Security,2023,0.8918,0.8778,0.8914,0.8642,-0.014,0
AUS,Australia,Oceania,Healthcare,2021,0.4803,0.4544,0.4686,0.4402,-0.0258,0
AUS,Australia,Oceania,Healthcare,2022,0.4678,0.4622,0.4774,0.447,-0.0056,1
AUS,Australia,Oceania,Healthcare,2023,0.5231,0.47,0.4862,0.4538,-0.0531,0
AUS,Australia,Oceania,Political Stability,2021,0.7999,0.8059,0.8231,0.7886,0.006,1
AUS,Australia,Oceania,Political Stability,2022,0.8321,0.8036,0.822,0.7851,-0.0285,0
AUS,Australia,Oceania,Political Stability,2023,0.8176,0.8013,0.8209,0.7816,-0.0164,1
AUT,Austria,Europe,Climate & Energy,2021,0.6886,0.6911,0.6928,0.6894,0.0025,0
AUT,Austria,Europe,Climate & Energy,2022,0.7622,0.6917,0.6935,0.6898,-0.0706,0
AUT,Austria,Europe,Climate & Energy,2023,0.7605,0.6923,0.6942,0.6903,-0.0682,0
AUT,Austria,Europe,Digital Infrastructure,2021,0.7655,0.8661,0.9089,0.8234,0.1006,0
AUT,Austria,Europe,Digital Infrastructure,2022,0.7707,0.894,0.9398,0.8482,0.1233,0
AUT,Austria,Europe,Digital Infrastructure,2023,0.7806,0.9219,0.9707,0.873,0.1412,0
AUT,Austria,Europe,Economic Fragility,2021,0.6955,0.7389,0.7512,0.7265,0.0434,0
AUT,Austria,Europe,Economic Fragility,2022,0.6761,0.74,0.7532,0.7268,0.0639,0
AUT,Austria,Europe,Economic Fragility,2023,0.7261,0.7411,0.7552,0.727,0.015,0
AUT,Austria,Europe,Food Security,2021,0.8694,0.8589,0.8712,0.8466,-0.0105,1
AUT,Austria,Europe,Food Security,2022,0.8728,0.8577,0.8708,0.8445,-0.0151,0
AUT,Austria,Europe,Food Security,2023,0.8551,0.8564,0.8705,0.8424,0.0013,1
AUT,Austria,Europe,Healthcare,2021,0.5833,0.572,0.5757,0.5684,-0.0112,0
AUT,Austria,Europe,Healthcare,2022,0.559,0.5753,0.5792,0.5714,0.0163,0
AUT,Austria,Europe,Healthcare,2023,0.5806,0.5786,0.5828,0.5744,-0.002,1
AUT,Austria,Europe,Political Stability,2021,0.8138,0.846,0.8719,0.8202,0.0322,0
AUT,Austria,Europe,Political Stability,2022,0.7595,0.8448,0.8724,0.8171,0.0853,0
AUT,Austria,Europe,Political Stability,2023,0.7767,0.8435,0.873,0.814,0.0668,0
AZE,Azerbaijan,Central Asia,Climate & Energy,2021,0.6142,0.6277,0.6331,0.6223,0.0135,0
AZE,Azerbaijan,Central Asia,Climate & Energy,2022,0.7641,0.6303,0.6361,0.6245,-0.1338,0
AZE,Azerbaijan,Central Asia,Climate & Energy,2023,0.7657,0.6329,0.6391,0.6267,-0.1329,0
AZE,Azerbaijan,Central Asia,Digital Infrastructure,2021,0.64,0.7349,0.7879,0.6819,0.0949,0
AZE,Azerbaijan,Central Asia,Digital Infrastructure,2022,0.6527,0.774,0.8306,0.7173,0.1212,0
AZE,Azerbaijan,Central Asia,Digital Infrastructure,2023,0.6629,0.813,0.8735,0.7525,0.1501,0
AZE,Azerbaijan,Central Asia,Economic Fragility,2021,0.6792,0.7485,0.7971,0.6999,0.0693,0
AZE,Azerbaijan,Central Asia,Economic Fragility,2022,0.6661,0.7564,0.8085,0.7044,0.0903,0
AZE,Azerbaijan,Central Asia,Economic Fragility,2023,0.7066,0.7644,0.8199,0.7089,0.0578,0
AZE,Azerbaijan,Central Asia,Food Security,2021,0.6688,0.7656,0.8269,0.7043,0.0968,0
AZE,Azerbaijan,Central Asia,Food Security,2022,0.676,0.7722,0.8378,0.7065,0.0962,0
AZE,Azerbaijan,Central Asia,Food Security,2023,0.7406,0.7787,0.8488,0.7087,0.0381,1
AZE,Azerbaijan,Central Asia,Healthcare,2021,0.2878,0.2537,0.2679,0.2394,-0.0341,0
AZE,Azerbaijan,Central Asia,Healthcare,2022,0.2507,0.2493,0.2646,0.234,-0.0014,1
AZE,Azerbaijan,Central Asia,Healthcare,2023,0.2232,0.2449,0.2612,0.2286,0.0217,0
AZE,Azerbaijan,Central Asia,Political Stability,2021,0.4374,0.4992,0.5381,0.4603,0.0618,0
AZE,Azerbaijan,Central Asia,Political Stability,2022,0.4189,0.5029,0.5445,0.4612,0.0839,0
AZE,Azerbaijan,Central Asia,Political Stability,2023,0.4606,0.5065,0.5509,0.4621,0.0459,0
BEL,Belgium,Europe,Climate & Energy,2021,0.6459,0.6449,0.6463,0.6434,-0.0011,1
BEL,Belgium,Europe,Climate & Energy,2022,0.772,0.645,0.6465,0.6435,-0.127,0
BEL,Belgium,Europe,Climate & Energy,2023,0.7707,0.6452,0.6468,0.6436,-0.1255,0
BEL,Belgium,Europe,Digital Infrastructure,2021,0.9069,1.0,1.0,0.9596,0.0931,0
BEL,Belgium,Europe,Digital Infrastructure,2022,0.9184,1.0,1.0,0.9903,0.0816,0
BEL,Belgium,Europe,Digital Infrastructure,2023,0.9229,1.0,1.0,1.0,0.0771,0
BEL,Belgium,Europe,Economic Fragility,2021,0.686,0.7381,0.7484,0.7279,0.0521,0
BEL,Belgium,Europe,Economic Fragility,2022,0.684,0.7393,0.7502,0.7283,0.0553,0
BEL,Belgium,Europe,Economic Fragility,2023,0.717,0.7404,0.7521,0.7287,0.0234,0
BEL,Belgium,Europe,Food Security,2021,0.8341,0.8199,0.843,0.7967,-0.0142,1
BEL,Belgium,Europe,Food Security,2022,0.8494,0.8191,0.8439,0.7944,-0.0303,0
BEL,Belgium,Europe,Food Security,2023,0.8293,0.8184,0.8448,0.7919,-0.0109,1
BEL,Belgium,Europe,Healthcare,2021,0.4618,0.4641,0.4677,0.4605,0.0023,1
BEL,Belgium,Europe,Healthcare,2022,0.4513,0.4668,0.4706,0.4629,0.0155,0
BEL,Belgium,Europe,Healthcare,2023,0.4834,0.4695,0.4736,0.4654,-0.0139,0
BEL,Belgium,Europe,Political Stability,2021,0.7625,0.7085,0.7315,0.6854,-0.054,0
BEL,Belgium,Europe,Political Stability,2022,0.745,0.7015,0.7261,0.6768,-0.0435,0
BEL,Belgium,Europe,Political Stability,2023,0.7064,0.6945,0.7208,0.6682,-0.0119,1
BFA,Burkina Faso,Africa,Climate & Energy,2021,0.413,0.4144,0.4171,0.4117,0.0014,1
BFA,Burkina Faso,Africa,Climate & Energy,2022,0.417,0.4153,0.4183,0.4124,-0.0016,1
BFA,Burkina Faso,Africa,Climate & Energy,2023,0.1267,0.4163,0.4194,0.4132,0.2895,0
BFA,Burkina Faso,Africa,Digital Infrastructure,2021,0.0729,0.0582,0.0619,0.0545,-0.0147,0
BFA,Burkina Faso,Africa,Digital Infrastructure,2022,0.083,0.0609,0.0648,0.0569,-0.0221,0
BFA,Burkina Faso,Africa,Digital Infrastructure,2023,0.1784,0.0636,0.0678,0.0594,-0.1148,0
BFA,Burkina Faso,Africa,Economic Fragility,2021,0.6772,0.6989,0.7116,0.6862,0.0217,0
BFA,Burkina Faso,Africa,Economic Fragility,2022,0.6891,0.6994,0.713,0.6858,0.0103,1
BFA,Burkina Faso,Africa,Economic Fragility,2023,0.7162,0.6999,0.7144,0.6854,-0.0163,0
BFA,Burkina Faso,Africa,Food Security,2021,0.6696,0.7046,0.7352,0.6739,0.0349,0
BFA,Burkina Faso,Africa,Food Security,2022,0.6812,0.7135,0.7463,0.6806,0.0322,1
BFA,Burkina Faso,Africa,Food Security,2023,0.6876,0.7223,0.7574,0.6873,0.0347,1
BFA,Burkina Faso,Africa,Healthcare,2021,0.174,0.1128,0.1409,0.0848,-0.0612,0
BFA,Burkina Faso,Africa,Healthcare,2022,0.1861,0.1107,0.1407,0.0807,-0.0754,0
BFA,Burkina Faso,Africa,Healthcare,2023,0.3705,0.1086,0.1406,0.0765,-0.2619,0
BFA,Burkina Faso,Africa,Political Stability,2021,0.2629,0.3534,0.3935,0.3133,0.0905,0
BFA,Burkina Faso,Africa,Political Stability,2022,0.2255,0.3376,0.3806,0.2947,0.1121,0
BFA,Burkina Faso,Africa,Political Stability,2023,0.1779,0.3219,0.3677,0.276,0.144,0
BGD,Bangladesh,South Asia,Climate & Energy,2021,0.5065,0.4855,0.4931,0.478,-0.021,0
BGD,Bangladesh,South Asia,Climate & Energy,2022,0.5701,0.4901,0.4982,0.4821,-0.08,0
BGD,Bangladesh,South Asia,Climate & Energy,2023,0.4378,0.4947,0.5033,0.4861,0.0569,0
BGD,Bangladesh,South Asia,Digital Infrastructure,2021,0.2702,0.1881,0.2128,0.1634,-0.082,0
BGD,Bangladesh,South Asia,Digital Infrastructure,2022,0.2889,0.1989,0.2253,0.1725,-0.09,0
BGD,Bangladesh,South Asia,Digital Infrastructure,2023,0.3105,0.2097,0.2379,0.1815,-0.1008,0
BGD,Bangladesh,South Asia,Economic Fragility,2021,0.6719,0.6687,0.6765,0.6608,-0.0033,1
BGD,Bangladesh,South Asia,Economic Fragility,2022,0.6647,0.6679,0.6763,0.6594,0.0032,1
BGD,Bangladesh,South Asia,Economic Fragility,2023,0.6689,0.667,0.676,0.6581,-0.0019,1
BGD,Bangladesh,South Asia,Food Security,2021,0.8285,0.6957,0.7519,0.6394,-0.1328,0
BGD,Bangladesh,South Asia,Food Security,2022,0.8222,0.7057,0.7659,0.6454,-0.1166,0
BGD,Bangladesh,South Asia,Food Security,2023,0.8264,0.7157,0.78,0.6514,-0.1107,0
BGD,Bangladesh,South Asia,Healthcare,2021,0.0647,0.065,0.0667,0.0634,0.0003,1
BGD,Bangladesh,South Asia,Healthcare,2022,0.0669,0.067,0.0688,0.0652,0.0001,1
BGD,Bangladesh,South Asia,Healthcare,2023,0.0638,0.069,0.0709,0.0671,0.0052,0
BGD,Bangladesh,South Asia,Political Stability,2021,0.3942,0.3578,0.4028,0.3127,-0.0365,1
BGD,Bangladesh,South Asia,Political Stability,2022,0.3922,0.3588,0.407,0.3105,-0.0334,1
BGD,Bangladesh,South Asia,Political Stability,2023,0.422,0.3598,0.4112,0.3083,-0.0623,0
BHR,Bahrain,Middle East,Climate & Energy,2021,0.6655,0.6639,0.6666,0.6612,-0.0016,1
BHR,Bahrain,Middle East,Climate & Energy,2022,0.8305,0.663,0.6659,0.6601,-0.1675,0
BHR,Bahrain,Middle East,Climate & Energy,2023,0.9257,0.6622,0.6652,0.6591,-0.2636,0
BHR,Bahrain,Middle East,Digital Infrastructure,2021,0.6729,0.8033,0.8761,0.7305,0.1304,0
BHR,Bahrain,Middle East,Digital Infrastructure,2022,0.6881,0.8387,0.9166,0.7608,0.1506,0
BHR,Bahrain,Middle East,Digital Infrastructure,2023,0.6795,0.8741,0.9573,0.791,0.1946,0
BHR,Bahrain,Middle East,Economic Fragility,2021,0.7094,0.7276,0.7439,0.7114,0.0182,0
BHR,Bahrain,Middle East,Economic Fragility,2022,0.6833,0.7296,0.747,0.7122,0.0463,0
BHR,Bahrain,Middle East,Economic Fragility,2023,0.7112,0.7315,0.7501,0.713,0.0203,0
BHR,Bahrain,Middle East,Food Security,2021,0.572,0.6455,0.6938,0.5972,0.0735,0
BHR,Bahrain,Middle East,Food Security,2022,0.5041,0.6419,0.6937,0.5902,0.1378,0
BHR,Bahrain,Middle East,Food Security,2023,0.5132,0.6383,0.6935,0.5831,0.1251,0
BHR,Bahrain,Middle East,Healthcare,2021,0.164,0.131,0.1378,0.1242,-0.033,0
BHR,Bahrain,Middle East,Healthcare,2022,0.1398,0.1309,0.1381,0.1236,-0.0089,0
BHR,Bahrain,Middle East,Healthcare,2023,0.147,0.1307,0.1384,0.1229,-0.0163,0
BHR,Bahrain,Middle East,Political Stability,2021,0.5052,0.3577,0.4062,0.3091,-0.1475,0
BHR,Bahrain,Middle East,Political Stability,2022,0.5403,0.3427,0.3947,0.2908,-0.1976,0
BHR,Bahrain,Middle East,Political Stability,2023,0.5379,0.3277,0.3832,0.2723,-0.2101,0
BIH,Bosnia and Herzegovina,Europe,Climate & Energy,2021,0.5854,0.5681,0.5761,0.5601,-0.0173,0
