Country Code,Country Name,Region,Domain,Base_2030,Optimistic_2030,Pessimistic_2030,Composite_Base,Composite_Opt,Composite_Pess,Data_Type
ALB,Albania,Europe,Climate & Energy,0.7305756132424452,0.740582921350766,0.7205683051341245,0.7025799340414682,0.7339050277837526,0.6712548402991838,Actual
ALB,Albania,Europe,Digital Infrastructure,0.8407271991403462,0.8683707917012378,0.8130836065794547,0.7025799340414682,0.7339050277837526,0.6712548402991838,Actual
ALB,Albania,Europe,Economic Fragility,0.7258113121380112,0.7439202353769212,0.7077023888991012,0.7025799340414682,0.7339050277837526,0.6712548402991838,Actual
ALB,Albania,Europe,Food Security,0.8382936991799674,0.9086671522305643,0.7679202461293706,0.7025799340414682,0.7339050277837526,0.6712548402991838,Actual
ALB,Albania,Europe,Healthcare,0.32571063146022716,0.35178028844064035,0.29964097447981397,0.7025799340414682,0.7339050277837526,0.6712548402991838,Actual
ALB,Albania,Europe,Political Stability,0.7543611490878117,0.7901087776023855,0.7186135205732379,0.7025799340414682,0.7339050277837526,0.6712548402991838,Actual
ARE,United Arab Emirates,Middle East,Climate & Energy,0.7262148511546673,0.7628398092752966,0.6895898930340381,0.7605837740424971,0.7928655690685039,0.7283019790164902,Actual
ARE,United Arab Emirates,Middle East,Digital Infrastructure,1.0,1.0,1.0,0.7605837740424971,0.7928655690685039,0.7283019790164902,Actual
ARE,United Arab Emirates,Middle East,Economic Fragility,0.9094437694552688,0.9875609758566242,0.8313265630539135,0.7605837740424971,0.7928655690685039,0.7283019790164902,Actual
ARE,United Arab Emirates,Middle East,Food Security,0.9451615356873138,0.9880235866300874,0.9022994847445401,0.7605837740424971,0.7928655690685039,0.7283019790164902,Actual
ARE,United Arab Emirates,Middle East,Healthcare,0.2538923572117451,0.27334658070533824,0.2344381337181519,0.7605837740424971,0.7928655690685039,0.7283019790164902,Actual
ARE,United Arab Emirates,Middle East,Political Stability,0.7287901307459874,0.7454224619436771,0.7121577995482977,0.7605837740424971,0.7928655690685039,0.7283019790164902,Actual
ARM,Armenia,Central Asia,Climate & Energy,0.6892119814905531,0.7108430615311678,0.6675809014499383,0.6772761495464633,0.7202676060329067,0.6320596041838509,Actual
ARM,Armenia,Central Asia,Digital Infrastructure,0.8067353616577648,0.8510008676953108,0.7624698556202189,0.6772761495464633,0.7202676060329067,0.6320596041838509,Actual
ARM,Armenia,Central Asia,Economic Fragility,0.7222325080465781,0.7682596378849109,0.6762053782082453,0.6772761495464633,0.7202676060329067,0.6320596041838509,Actual
ARM,Armenia,Central Asia,Food Security,0.9315062351276779,1.0,0.8496619369983414,0.6772761495464633,0.7202676060329067,0.6320596041838509,Actual
ARM,Armenia,Central Asia,Healthcare,0.4641602103311264,0.4832883407178082,0.44503207994444466,0.6772761495464633,0.7202676060329067,0.6320596041838509,Actual
ARM,Armenia,Central Asia,Political Stability,0.4498106006250797,0.5082137283682427,0.3914074728819167,0.6772761495464633,0.7202676060329067,0.6320596041838509,Actual
AUS,Australia,Oceania,Climate & Energy,0.7311276599846219,0.7599352917590292,0.7023200282102147,0.7767227152443649,0.7922027354115658,0.761242695077164,Actual
AUS,Australia,Oceania,Digital Infrastructure,1.0,1.0,1.0,0.7767227152443649,0.7922027354115658,0.761242695077164,Actual
AUS,Australia,Oceania,Economic Fragility,0.718798080743195,0.727616718072981,0.7099794434134089,0.7767227152443649,0.7922027354115658,0.761242695077164,Actual
AUS,Australia,Oceania,Food Security,0.8739177366817192,0.8884537867848304,0.859381686578608,0.7767227152443649,0.7922027354115658,0.761242695077164,Actual
AUS,Australia,Oceania,Healthcare,0.5428685570339518,0.562234873215253,0.5235022408526505,0.7767227152443649,0.7922027354115658,0.761242695077164,Actual
AUS,Australia,Oceania,Political Stability,0.7936242570227012,0.8149757426373008,0.7722727714081017,0.7767227152443649,0.7922027354115658,0.761242695077164,Actual
AUT,Austria,Europe,Climate & Energy,0.7263310319613723,0.7419418796745374,0.7107201842482072,0.7830782131310853,0.798173593216192,0.7646390570850955,Actual
AUT,Austria,Europe,Digital Infrastructure,1.0,1.0,0.9799373442347015,0.7830782131310853,0.798173593216192,0.7646390570850955,Actual
AUT,Austria,Europe,Economic Fragility,0.7235984572729308,0.7426766592270387,0.7045202553188229,0.7830782131310853,0.798173593216192,0.7646390570850955,Actual
AUT,Austria,Europe,Food Security,0.8524998735652467,0.8675303093040871,0.8374694378264063,0.7830782131310853,0.798173593216192,0.7646390570850955,Actual
AUT,Austria,Europe,Healthcare,0.600727475434577,0.6064697316230125,0.5949852192461416,0.7830782131310853,0.798173593216192,0.7646390570850955,Actual
AUT,Austria,Europe,Political Stability,0.7953124405523848,0.830422979468476,0.7602019016362936,0.7830782131310853,0.798173593216192,0.7646390570850955,Actual
AZE,Azerbaijan,Central Asia,Climate & Energy,0.7067347874874681,0.7375873365863179,0.6758822383886183,0.6610395604999759,0.7004183554576461,0.6113105815956975,Actual
AZE,Azerbaijan,Central Asia,Digital Infrastructure,1.0,1.0,0.9378988963203504,0.6610395604999759,0.7004183554576461,0.6113105815956975,Actual
AZE,Azerbaijan,Central Asia,Economic Fragility,0.7741383939784576,0.8351296493085363,0.713147138648379,0.6610395604999759,0.7004183554576461,0.6113105815956975,Actual
AZE,Azerbaijan,Central Asia,Food Security,0.7770500307450448,0.8534245957271218,0.7006754657629677,0.6610395604999759,0.7004183554576461,0.6113105815956975,Actual
AZE,Azerbaijan,Central Asia,Healthcare,0.21636504700873616,0.23503515072671965,0.19769494329075266,0.6610395604999759,0.7004183554576461,0.6113105815956975,Actual
AZE,Azerbaijan,Central Asia,Political Stability,0.4919491037801489,0.541333400397181,0.4425648071631168,0.6610395604999759,0.7004183554576461,0.6113105815956975,Actual
BEL,Belgium,Europe,Climate & Energy,0.7016262097565349,0.7295872070188679,0.6736652124942019,0.7338980799959641,0.7519947282716726,0.7158014317202558,Actual
BEL,Belgium,Europe,Digital Infrastructure,1.0,1.0,1.0,0.7338980799959641,0.7519947282716726,0.7158014317202558,Actual
BEL,Belgium,Europe,Economic Fragility,0.7212255641896932,0.7382522157023016,0.7041989126770848,0.7338980799959641,0.7519947282716726,0.7158014317202558,Actual
BEL,Belgium,Europe,Food Security,0.8247148408801902,0.8528947805470896,0.7965349012132908,0.7338980799959641,0.7519947282716726,0.7158014317202558,Actual
